Gender;Height;Weight;BMI
Male;174;96;31,70828379
Male;189;87;24,35542118
Female;185;110;32,14024836
Female;195;104;27,35042735
Male;149;61;27,47623981
Male;189;104;29,11452647
Male;147;92;42,57485307
Male;154;111;46,80384551
Male;174;90;29,72651605
Female;169;103;36,06316305
Male;195;81;21,30177515
Female;159;80;31,64431787
Female;192;101;27,39800347
Male;155;51;21,22788762
Male;191;79;21,65510814
Female;153;107;45,70891537
Female;157;110;44,62655686
Male;140;129;65,81632653
Male;144;145;69,92669753
Male;172;139;46,98485668
Male;157;110;44,62655686
Female;153;149;63,65073262
Female;169;97;33,96239627
Male;185;139;40,61358656
Female;172;67;22,64737696
Female;151;64;28,06894434
Male;190;95;26,31578947
Male;187;62;17,72998942
Female;163;159;59,84417931
Male;179;152;47,4392185
Male;153;121;51,68952112
Male;178;52;16,41206918
Female;195;65;17,09401709
Female;160;131;51,171875
Female;157;153;62,07148363
Female;189;132;36,95305283
Female;197;114;29,3746296
Male;144;80;38,58024691
Female;171;152;51,98180637
Female;185;81;23,66691015
Female;175;120;39,18367347
Female;149;108;48,64645737
Male;157;56;22,7189744
Male;161;118;45,52293507
Female;182;126;38,03888419
Male;185;76;22,20598977
Female;188;122;34,51788139
Male;181;111;33,88174964
Male;161;72;27,77670615
Male;140;152;77,55102041
Female;168;135;47,83163265
Female;176;54;17,43285124
Male;163;110;41,40163348
Male;172;105;35,49215792
Male;196;116;30,19575177
Female;187;89;25,45111384
Male;172;92;31,09789075
Male;178;127;40,08332281
Female;164;70;26,0261749
Male;143;88;43,03388919
Female;191;54;14,80222582
Female;141;143;71,92797143
Male;193;54;14,49703348
Male;190;83;22,99168975
Male;175;135;44,08163265
Female;179;158;49,31181923
Female;172;96;32,44997296
Female;168;59;20,90419501
Female;164;82;30,48780488
Female;194;136;36,13561484
Female;153;51;21,78649237
Male;178;117;36,92715566
Male;141;80;40,23942458
Male;180;75;23,14814815
Female;185;100;29,2184076
Female;197;154;39,68151717
Male;165;104;38,20018365
Female;168;90;31,8877551
Female;176;122;39,38533058
Male;181;51;15,56729038
Male;164;75;27,88518739
Female;166;140;50,80563217
Female;190;105;29,08587258
Male;186;118;34,10798936
Male;168;123;43,57993197
Male;198;50;12,75380063
Female;175;141;46,04081633
Male;145;117;55,64803805
Female;159;104;41,13761323
Female;185;140;40,90577064
Female;178;154;48,60497412
Female;183;96;28,66612918
Female;194;111;29,49303858
Male;177;61;19,47077787
Male;197;119;30,66299054
Female;170;156;53,97923875
Male;142;69;34,21940091
Male;160;139;54,296875
Male;195;69;18,14595661
Female;190;50;13,85041551
Male;199;156;39,39294462
Male;154;105;44,27390791
Male;161;155;59,79707573
Female;198;145;36,98602183
Female;192;140;37,97743056
Male;195;126;33,13609467
Male;166;160;58,06357962
Male;159;154;60,91531189
Female;181;106;32,3555447
Male;149;66;29,72839061
Female;150;70;31,11111111
Female;146;157;73,65359354
Male;190;135;37,39612188
Female;192;90;24,4140625
Female;177;96;30,64253567
Male;148;60;27,39225712
Female;165;57;20,93663912
Female;146;104;48,78964158
Male;144;108;52,08333333
Female;176;156;50,36157025
Female;168;87;30,82482993
Male;187;122;34,8880437
Male;187;138;39,46352484
Female;184;160;47,25897921
Female;158;149;59,68594776
Male;158;96;38,45537574
Male;194;115;30,55585078
Female;145;79;37,57431629
Male;182;151;45,58628185
Male;154;54;22,76943835
Female;168;139;49,24886621
Female;187;70;20,01772999
Female;158;153;61,28825509
Female;167;110;39,44207394
Female;171;155;53,00776307
Female;183;150;44,79082684
Female;190;156;43,2132964
Male;194;108;28,69592943
Male;171;147;50,27187853
Male;159;124;49,04869269
Female;169;54;18,90690102
Female;167;85;30,47796622
Male;180;149;45,98765432
Male;163;123;46,2945538
Male;140;79;40,30612245
Male;197;125;32,20902368
Male;194;106;28,16452333
Female;140;146;74,48979592
Male;195;98;25,77251808
Female;168;115;40,74546485
Female;196;50;13,01541025
Male;140;52;26,53061224
Female;150;60;26,66666667
Female;168;140;49,6031746
Female;155;111;46,20187305
Female;179;103;32,14631254
Female;182;84;25,35925613
Male;168;160;56,6893424
Female;187;102;29,16869227
Male;181;105;32,05030371
Male;199;99;24,9993687
Female;184;76;22,44801512
Male;192;101;27,39800347
Female;182;143;43,1711146
Female;172;111;37,52028123
Male;181;78;23,80879705
Male;176;109;35,18853306
Female;156;106;43,55687048
Female;151;67;29,38467611
Female;188;80;22,63467632
Male;187;136;38,89158969
Male;174;138;45,58065795
Male;167;151;54,14321058
Female;196;131;34,10037484
Male;197;149;38,39315623
Female;185;119;34,76990504
Female;170;102;35,29411765
Female;181;94;28,69265285
Female;166;126;45,72506895
Male;188;100;28,29334541
Female;162;74;28,1969212
Male;177;117;37,34559035
Male;162;97;36,96082914
Male;180;73;22,5308642
Female;192;108;29,296875
Male;165;80;29,38475666
Female;167;135;48,40618165
Female;182;84;25,35925613
Female;161;134;51,69553644
Male;158;95;38,05479891
Male;141;85;42,75438861
Male;154;100;42,16562658
Male;165;105;38,56749311
Female;142;137;67,94286848
Male;141;94;47,28132388
Male;145;108;51,36741974
Male;157;74;30,02150189
Female;177;117;37,34559035
Female;166;144;52,25722166
Male;193;151;40,53800102
Male;184;57;16,83601134
Male;179;93;29,02531132
Female;156;89;36,57133465
Male;182;104;31,39717425
Male;145;160;76,09988109
Female;150;87;38,66666667
Male;145;99;47,08680143
Female;196;122;31,757601
Male;191;96;26,31506812
Female;148;67;30,58802045
Female;150;84;37,33333333
Male;148;155;70,7633309
Female;153;146;62,36917425
Female;196;159;41,38900458
Female;185;52;15,19357195
Female;171;131;44,80010944
Female;143;118;57,70453323
Female;142;86;42,6502678
Female;141;126;63,37709371
Male;159;109;43,11538309
Female;173;82;27,39817568
Male;183;138;41,20756069
Female;152;90;38,95429363
Male;178;140;44,18634011
Male;188;54;15,27840652
Female;155;144;59,93756504
Male;166;70;25,40281608
Male;188;123;34,80081485
Female;171;120;41,03826819
Male;179;130;40,57301582
Female;186;137;39,59995375
Female;153;78;33,32051775
Female;184;86;25,40170132
Female;177;81;25,85463947
Male;145;78;37,09869203
Male;170;81;28,02768166
Male;181;141;43,03897927
Male;165;155;56,93296602
Female;174;65;21,46915048
Female;146;110;51,6044286
Male;178;85;26,82742078
Male;166;61;22,13673973
Male;191;62;16,99514816
Female;177;155;49,47492738
Female;183;50;14,93027561
Male;151;114;49,99780711
Male;182;98;29,58579882
Female;142;159;78,8534021
Female;188;90;25,46401086
Male;161;89;34,3350951
Male;153;70;29,90302875
Male;140;143;72,95918367
Male;169;141;49,36801933
Female;162;159;60,58527663
Male;183;147;43,8950103
Female;162;58;22,10028959
Female;172;109;36,84424013
Female;150;119;52,88888889
Female;169;145;50,76853051
Female;184;132;38,98865784
Male;159;104;41,13761323
Male;163;131;49,30558169
Male;156;137;56,29520053
Female;157;52;21,09619051
Male;147;84;38,87269193
Male;141;86;43,25738142
Male;173;139;46,44324902
Male;154;145;61,14015854
Male;168;148;52,43764172
Male;168;50;17,7154195
Male;145;130;61,83115339
Male;152;103;44,58102493
Female;187;121;34,60207612
Female;163;57;21,45357371
Male;178;83;26,19618735
Female;187;94;26,8809517
Female;179;114;35,57941388
Male;190;80;22,16066482
Male;172;75;25,35154137
Male;188;57;16,12720688
Male;193;65;17,45013289
Female;147;126;58,3090379
Female;147;94;43,50039335
Male;166;107;38,83001887
Female;192;139;37,70616319
Male;181;139;42,4284973
Male;150;74;32,88888889
Male;178;160;50,49867441
Female;156;52;21,36752137
Male;149;100;45,04301608
Male;156;74;30,40762656
Male;183;105;31,35357879
Female;162;68;25,91068435
Female;165;83;30,48668503
Female;168;143;50,66609977
Male;160;156;60,9375
Female;169;88;30,8112461
Female;140;76;38,7755102
Female;187;92;26,30901656
Male;151;82;35,96333494
Female;186;140;40,46710602
Male;182;108;32,60475788
Male;188;81;22,91760978
Male;179;110;34,33101339
Female;156;126;51,77514793
Male;188;114;32,25441376
Male;183;153;45,68664338
Male;144;88;42,4382716
Male;196;69;17,96126614
Male;171;141;48,21996512
Male;171;147;50,27187853
Female;180;156;48,14814815
Male;191;146;40,02083276
Female;179;67;20,91070816
Female;180;60;18,51851852
Female;154;132;55,65862709
Male;188;99;28,01041195
Male;142;135;66,95100179
Male;170;95;32,87197232
Male;152;141;61,02839335
Female;190;118;32,68698061
Female;181;111;33,88174964
Male;153;104;44,427357
Male;187;140;40,03545998
Female;144;66;31,8287037
Female;148;54;24,65303141
Female;199;92;23,23173657
Female;167;85;30,47796622
Female;164;71;26,39797739
Female;185;102;29,80277575
Female;164;160;59,48839976
Male;142;71;35,21126761
Male;165;68;24,97704316
Female;172;62;20,9572742
Female;157;56;22,7189744
Male;155;57;23,72528616
Female;167;153;54,8603392
Female;164;126;46,84711481
Female;189;125;34,99342124
Female;161;145;55,93919988
Female;155;71;29,55254943
Female;171;118;40,35429705
Female;154;92;38,79237645
Male;179;83;25,9043101
Male;170;115;39,79238754
Female;184;106;31,30907372
Female;191;68;18,63983992
Male;162;58;22,10028959
Male;178;138;43,55510668
Female;157;60;24,34175829
Male;184;83;24,51559546
Male;197;88;22,67515267
Female;160;51;19,921875
Male;184;153;45,19139887
Male;190;50;13,85041551
Male;174;90;29,72651605
Female;189;124;34,71347387
Female;186;143;41,3342583
Female;180;58;17,90123457
Female;186;148;42,77951208
Female;193;61;16,37627856
Male;161;103;39,73612129
Female;151;158;69,29520635
Female;195;147;38,65877712
Female;184;152;44,89603025
Male;141;80;40,23942458
Female;185;94;27,46530314
Female;186;127;36,70944618
Male;142;131;64,9672684
Female;147;67;31,00559952
Male;151;62;27,19178983
Female;160;124;48,4375
Male;185;60;17,53104456
Female;163;63;23,71184463
Male;174;95;31,37798917
Female;150;144;64
Male;142;91;45,12993454
Male;178;142;44,81757354
Female;154;96;40,47900152
Male;176;87;28,08626033
Male;159;120;47,4664768
Male;191;62;16,99514816
Male;177;117;37,34559035
Male;151;154;67,54089733
Female;182;149;44,98249004
Female;197;72;18,55239764
Male;146;138;64,74010133
Female;160;83;32,421875
Female;157;66;26,77593411
Female;150;50;22,22222222
Female;167;58;20,79672989
Female;180;70;21,60493827
Female;183;76;22,69401893
Female;183;87;25,97867957
Female;152;154;66,65512465
Female;164;71;26,39797739
Male;187;96;27,45288684
Male;169;136;47,61738034
Female;149;61;27,47623981
Male;163;137;51,56385261
Female;195;104;27,35042735
Male;174;107;35,34152464
Male;182;70;21,13271344
Male;169;110;38,51405763
Male;193;130;34,90026578
Male;148;141;64,37180424
Male;186;68;19,6554515
Male;165;143;52,52525253
Female;146;123;57,7031338
Female;166;133;48,26535056
Male;179;56;17,47760682
Female;177;101;32,23850107
Male;181;154;47,00711212
Female;161;154;59,41128814
Female;157;103;41,78668506
Female;169;98;34,31252407
Female;152;114;49,34210526
Female;162;64;24,38652644
Male;162;130;49,53513184
Female;177;61;19,47077787
Female;195;61;16,04207758
Male;140;146;74,48979592
Female;186;146;42,20141057
Female;178;107;33,77098851
Male;174;54;17,83590963
Female;180;59;18,20987654
Male;188;141;39,89361702
Female;187;130;37,17578427
Female;153;77;32,89333162
Female;165;95;34,89439853
Female;178;79;24,93372049
Female;163;154;57,96228688
Female;150;97;43,11111111
Male;179;127;39,63671546
Male;165;62;22,77318641
Male;168;158;55,98072562
Female;153;133;56,81575462
Male;184;157;46,37287335
Male;188;65;18,39067451
Female;166;153;55,52329801
Female;172;116;39,21038399
Male;182;73;22,03840116
Male;143;149;72,86419874
Male;152;146;63,19252078
Female;186;128;36,99849694
Male;159;140;55,37755627
Male;146;70;32,83918184
Female;176;121;39,0625
Female;146;101;47,38224808
Male;159;145;57,35532613
Male;162;157;59,82319768
Female;172;90;30,42184965
Female;169;121;42,36546339
Male;182;50;15,09479531
Female;183;79;23,58983547
Male;176;77;24,85795455
Female;188;128;36,21548212
Female;175;83;27,10204082
Male;154;81;34,15415753
Female;184;147;43,41918715
Male;179;123;38,38831497
Male;152;132;57,13296399
Male;179;56;17,47760682
Female;145;141;67,06302021
Female;181;80;24,41927902
Male;158;127;50,87325749
Female;188;99;28,01041195
Male;145;142;67,53864447
Male;161;115;44,36557232
Male;198;109;27,80328538
